ttydasm v1.0 by PistonMiner, built on Wed Jul 19 12:47:35 2017


--- START OF DISASSEMBLY FOR FUNCTION [all_party_lecture evt_lect_win.o] AT 805D9F24 ---
805D9F24:   callc [evt_mario_normalize evt_mario.o]
805DA5DC:   callc [evt_snd_bgmon evt_snd.o] 288 0
805DA5EC:   callc [evt_snd_envoff evt_snd.o] 513
805DA5F8:   callc [evt_snd_envon evt_snd.o] 288 0
805DA608:   callc [evt_mario_get_pos evt_mario.o] 0 LW(0) LW(1) LW(2)
805DA620:   callc [evt_snd_sfxon_3d evt_snd.o] ["SFX_OFF_PARTY_LECTURE1"] LW(0) LW(1) LW(2) 0
805DA63C:   callc [evt_img_set_paper_anim evt_img.o] ["img"] ["A_1"]
805DA64C:   callc [evt_img_wait_animend evt_img.o] ["img"]
805DA658:   callc [evt_img_release evt_img.o] ["img"]
805DA664:   callc [evt_paper_delete evt_paper.o] ["OFF_d_seal_upper_right"]
805DA670:   callc [evt_npc_start_for_event evt_npc.o]
805DA678:   switchi LW(9)
805DA680:   end_switch
805DA684:   return
805DA688:   end

--- START OF DISASSEMBLY FOR FUNCTION [all_party_lecture_otosub evt_lect_win.o] AT 805D9EF8 ---
805D9EF8:   callc [evt_snd_bgmoff evt_snd.o] 1024
805D9F04:   callc [evt_snd_bgmon evt_snd.o] 1 ["BGM_FF_GET_PARTY1"]
805D9F14:   wait_ms 2000
805D9F1C:   return
805D9F20:   end

--- START OF DISASSEMBLY FOR FUNCTION [cloud_party_lecture_init evt_lect_win.o] AT 805D9C78 ---
805D9C78:   callc [evt_mario_set_dir evt_mario.o] 90 0 0
805D9C8C:   callc [evt_mario_get_pos evt_mario.o] 0 LW(0) LW(1) LW(2)
805D9CA4:   subi LW(0) 40
805D9CB0:   callc [evt_cam3d_evt_set_rel evt_cam.o] 0.00 80.00 455.00 -20.00 35.00 -100.00 1000 0
805D9CD8:   callc [evt_party_cont_onoff evt_party.o] 0 0
805D9CE8:   callc [lect_party_ido_sum evt_lect_win.o] 0 1000
805D9CF8:   callc [evt_party_cont_onoff evt_party.o] 0 1
805D9D08:   callc [evt_party_set_dir evt_party.o] 0 90 300
805D9D1C:   return
805D9D20:   end

--- START OF DISASSEMBLY FOR FUNCTION [cloud_party_lecture evt_lect_win.o] AT 805D9D24 ---
805D9D24:   callc [evt_msg_print evt_msg.o] 0 ["lecture_friends_07_0_1"] 0 0
805D9D3C:   callc [evt_msg_print evt_msg.o] 0 ["lecture_friends_07_1"] 0 0
805D9D54:   callc [evt_cam3d_evt_set_rel evt_cam.o] 0.00 90.00 505.00 10.00 35.00 -115.00 1000 0
805D9D7C:   wait_ms 1000
805D9D84:   wait_ms 300
805D9D8C:   callc [evt_cam_letter_box_disable evt_cam.o] 1
805D9D98:   callc [evt_party_cloud_breathout evt_party.o] 0 1000
805D9DA8:   wait_ms 1000
805D9DB0:   callc [evt_party_cloud_breathout evt_party.o] 0 1000
805D9DC0:   wait_ms 1000
805D9DC8:   callc [evt_party_cloud_breathout evt_party.o] 0 3000
805D9DD8:   callc [evt_cam_letter_box_disable evt_cam.o] 0
805D9DE4:   wait_ms 300
805D9DEC:   callc [x_flag_set evt_lect_win.o] 0 1
805D9DFC:   begin_thread
805D9E00:     callc [evt_party_stop evt_party.o] 0
805D9E0C:     wait_frames 16
805D9E14:     callc [evt_mario_get_pos evt_mario.o] 0 LW(0) LW(1) LW(2)
805D9E2C:     subi LW(0) 40
805D9E38:     callc [evt_party_move_pos2 evt_party.o] 0 LW(0) LW(2) 80.00
805D9E50:     callc [evt_party_set_dir evt_party.o] 0 90 300
805D9E64:     callc [x_flag_set evt_lect_win.o] 0 0
805D9E74:   end_thread
805D9E78:   callc [evt_cam3d_evt_set_rel evt_cam.o] 0.00 80.00 455.00 -20.00 35.00 -100.00 1000 0
805D9EA0:   wait_ms 1000
805D9EA8:   callc [evt_msg_print_add evt_msg.o] 0 ["lecture_friends_08"]
805D9EB8:   callc [x_flag_wait evt_lect_win.o] 0 0
805D9EC8:   callc [evt_party_set_pose evt_party.o] 0 ["PWD_O_1"]
805D9ED8:   wait_ms 1000
805D9EE0:   callc [evt_party_set_pose evt_party.o] 0 ["PWD_S_1"]
805D9EF0:   return
805D9EF4:   end
